Arbeitsschritt,Bauteil_Name,Bauteil_Laenge,Bauteil_Breite,Bauteil_Hoehe
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Balken C24 60x160,469.3,80.0,160.0
W4,Balken C24 60x160,469.3,80.0,160.0
W4,Balken C24 60x160,469.3,80.0,160.0
W4,Stütze C24 80x160,226.0,80.0,160.0
W4,Stütze C24 80x160,226.0,80.0,160.0
W4,Stütze C24 80x160,226.0,80.0,160.0
W4,Stütze C24 80x160,226.0,80.0,160.0
W4,Stütze C24 80x160,226.0,80.0,160.0
W4,Fenster 1100x1400,,,
W4,Balken C24 45x160,104.0,,
W4,Stütze C24 45x160,206.0,45.0,160.0
W4,Stütze C24 45x160,206.0,45.0,160.0
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Stütze C24 45x160,226.0,45.0,160.0
W4,Stütze C24 80x160,15.5,80.0,160.0
W4,Stütze C24 80x160,65.8,80.0,160.0
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,OSB 15mm,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
W4,Schraube 80x120,,,
